Region	Mineral	Mine Name	lon	lat
C	Diamonds	BRANDHOEK 78 HP 35 OF 34 	26.45965 	-27.2911 
C	Diamonds	MODDERKRAAL 51 HP VARIOUS PT 	26.45557 	-27.25377 
C	Sand Natural	VAALBRUG DOLOMIET 577 	26.71177 	-27.00892 
C	Gold, Silver	GOEDGENOEG 433 IP 	26.60173 	-27.00024 
C	Gold, Silver	ELANDSLAAGTE 427 IP 8 	26.50823 	-26.94772 
C	Gold, Silver	WITKOP 438 IP 	26.65994 	-26.97111 
C	Gold, Silver	KANANA 426 IP 	26.64556 	-26.96516 
C	Gold, Silver	Nooitgedacht 434 IP 	26.66921 	-26.93321 
C	Diamonds	KLIPFONTEIN 344 HO 	25.6081 	-27.64777 
C	Sand Natural	NIEKERK 276 	25.68467 	-27.67457 
C	Sand Natural	GLASGOW 808 	25.58406 	-27.68972 
	Diamonds	STATELAND SMITSDRIFT 	24.0541 	-28.702598 
D	Diamonds	VAALLUS ESTATE 64 	23.95243 	-28.94028 
C	Coal	Nooitgedacht 89 IT 	27.25608 	-26.92794 
C	Coal	Kaalplaats 451 JS 	27.7067159 	-26.7566948 
C	Silica	FRAAIUITZICHT 217 	27.70356 	-26.78597 
C	Gold, Silver	HAASKRAAL 460 IQ 54 OF 25 	27.0876 	-26.79921 
C	Gold, Silver	MODDERFONTEIN 440 IP 	26.76163 	-26.92047 
C	Gold, Silver	VAALKOP 439 IP 	26.72664 	-26.93434 
C	Sand Natural	WOODLANDS 407 	27.61149 	-26.75667 
C	Gold	Driefontein 405 IR 	27.5867 	-26.79317 
C	Diamonds	WELTEVREDEN 176 HO 	27.57584 	-26.79562 
D	Diamonds	STATELAND SMITSDRIFT 	24.0541 	-28.702598 
D	Diamonds	DE KALK 37PTN 	23.81597 	-28.68442 
C	Sand Natural	KOOKFONTEIN 545 IQ 39 & 84 	27.974689 	-26.6598405 
C	Sand Natural	RIETFONTEIN 152PTN 	27.90771 	-26.7319 
C	Sand Natural	PANFONTEIN 437 IR 	28.02651 	-26.73302 
D	Diamonds	MOZIB AND THAN & SYDNEY ON VAAL 	24.3058333 	-28.4163889 
D	Diamonds	LONGLANDS 350 PTNS 	24.3594444 	-28.4605556 
D	Diamonds	LONGLANDS 231 	24.37556 	-28.43158 
D	Diamonds	MOZIB 279 	24.25585 	-28.48229 
C	Diamonds	DE HOOP 65REM EXT 	24.62612 	-28.49238 
C	Diamonds	ELANDSDRIFT 159 	24.70709 	-28.41737 
C	Diamonds	FOURTEEN STREAMS 311 	24.90684 	-28.08063 
C	Diamonds	Sedibeng Diamond Mine 	24.8745512 	-28.1301523 
C	Diamonds	AMANTIA K 120; RIETPUTS 15 1 & 2 & WATERVAL 14 1 	24.8497222 	-28.1113889 
C	Coal	Dwaalhoek 647 IR 	28.61157 	-27.00324 
C	Coal	Brandkraal 651 IR 	28.65568 	-26.9454 
C	Coal	Wolvenfontein 652 IR 	28.7104 	-26.95841 
C	Coal	Rietfontein 648 IR 	28.59226 	-26.95709 
C	Coal	Uitspanning 491 IS 	29.71145 	-26.83323 
C		Goedgeluk 492 IS 	29.74178 	-26.85782 
C	Coal	OPTIMUS 480 JS & BOSCHMANSKOP 154 IS & DRIEPAN 156 IS 	29.75157 	-26.82087 
C	Coal	Grootdraai Nu Tours 412 I 	29.30926 	-26.92849 
C	Coal	RACEBULT 352 IS 	29.2436111 	-26.9433333 
C	Coal 	Wittebank 661 IR 	28.74793 	-26.98739 
C	Coal 	Wittebank 653 IR 	28.73652 	-26.98517 
C	Coal	Dwaalhoek 647 IR 	28.61157 	-27.00324 
C	Coal	Brandkraal 651 IR 	28.65568 	-26.9454 
C	Coal	Langverwyl 410 IS 	29.28322 	-26.95387 
C	Coal	Amelia 518 Ptns 0, 4, 5 7 & various farms 	28.08063917 	-26.8939004 
C	Sand Natural	VISCHGAT 467 IR 	28.05521 	-26.78242 
C	Diamonds 	Vaalriviersdraai 479 IR 	28.26245 	-26.89986 
C	Diamonds 	Zandfontein 481 IR 	28.28485 	-26.88897 
C	Diamonds 	Zandfontein 484 IR 	28.30678 	-26.91058 
C	Sand Natural	Draaifontein 489 JR 	28.35494 	-26.92003 
